iter,elapsed_s,reward_per_step,episodes,policy_loss,value_loss,entropy,kl
283,35746.03,0.126859,0,0.116024,0.238463,1.288804,-0.057887
284,35872.22,0.126823,0,0.178844,0.247480,1.287086,-0.057423
285,35999.12,0.125902,0,0.192066,0.257785,1.285571,-0.057525
286,36125.94,0.114635,0,0.288644,0.253464,1.284124,-0.057167
287,36252.15,0.121406,0,0.117998,0.209685,1.282674,-0.056959
288,36378.61,0.105867,0,0.107710,0.276792,1.281158,-0.056908
289,36504.60,0.108196,0,0.146501,0.290816,1.279573,-0.057305
290,36630.73,0.108646,0,0.131862,0.239680,1.277921,-0.056919
291,36756.61,0.101602,0,6.159193,0.247662,1.276449,-0.055222
292,36882.84,0.108337,0,0.211227,0.235742,1.275335,-0.055370
293,37009.13,0.100548,0,0.240020,0.253990,1.274028,-0.055604
294,37135.10,0.095766,0,0.138607,0.244342,1.272657,-0.056491
295,37261.48,0.103228,0,0.124173,0.265971,1.271118,-0.056548
296,37387.64,0.106043,0,0.239897,0.254960,1.269505,-0.056744
297,37513.72,0.097789,0,0.124106,0.221209,1.268032,-0.055518
298,37639.92,0.099612,0,0.181789,0.236867,1.266523,-0.055305
299,37766.19,0.096583,0,0.128932,0.236343,1.265065,-0.054769
300,37892.63,0.093653,0,0.146961,0.245868,1.263584,-0.054739
301,38021.08,0.098851,0,0.125110,0.245999,1.262042,-0.054661
302,38147.08,0.108657,0,0.111854,0.262351,1.260448,-0.054330
303,38272.96,0.106434,0,0.111097,0.305791,1.258930,-0.055102
304,38399.40,0.112848,0,0.221761,0.250226,1.257451,-0.053633
305,38525.50,0.108076,0,0.201447,0.261541,1.256161,-0.053843
306,38651.68,0.110623,0,0.136776,0.202689,1.254866,-0.052521
307,38777.92,0.106518,0,0.187788,0.260411,1.253320,-0.052670
308,38903.96,0.104521,0,0.135101,0.219317,1.251590,-0.052846
309,39030.12,0.096815,0,0.135684,0.278926,1.249878,-0.052153
310,39156.61,0.104371,0,0.171227,0.215785,1.248366,-0.053003
311,39282.59,0.113295,0,0.333463,0.268121,1.247063,-0.052656
312,39409.13,0.106114,0,0.136184,0.223092,1.245725,-0.052652
313,39535.70,0.093109,0,0.123667,0.248579,1.244283,-0.051547
314,39661.90,0.084582,0,1.655392,0.254069,1.242871,-0.051579
315,39787.94,0.094033,0,0.140786,0.208280,1.241611,-0.051678
316,39914.15,0.104321,0,0.113431,0.229679,1.240329,-0.051909
317,40040.47,0.101468,0,0.146060,0.261047,1.238851,-0.052198
318,40167.07,0.100416,0,0.139298,0.258794,1.237272,-0.051762
319,40293.54,0.093113,0,0.207337,0.250771,1.235871,-0.050781
320,40419.91,0.106437,0,0.561252,0.277054,1.234633,-0.051855
321,40546.02,0.120285,0,0.138151,0.244117,1.233446,-0.050939
322,40672.48,0.117503,0,0.213733,0.271660,1.232074,-0.050432
323,40798.57,0.108071,0,0.116604,0.288129,1.230731,-0.051019
324,40924.94,0.126701,0,0.097587,0.279901,1.229263,-0.050989
325,41051.34,0.123251,0,0.105138,0.268803,1.227781,-0.050411
326,41178.77,0.113792,0,0.151279,0.228137,1.226291,-0.049687
327,41305.09,0.128918,0,0.112093,0.294442,1.224833,-0.050375
328,41431.64,0.123150,0,0.139387,0.240213,1.223360,-0.049554
329,41557.87,0.123239,0,0.126493,0.231410,1.221982,-0.048771
330,41684.15,0.116641,0,0.106214,0.214355,1.220427,-0.048655
331,41810.58,0.120467,0,0.120579,0.190701,1.218829,-0.048198
332,41936.78,0.118440,0,0.197078,0.200334,1.217280,-0.047854
333,42062.69,0.116138,0,0.143661,0.196642,1.215954,-0.047928
334,42188.56,0.122527,0,0.116766,0.222969,1.214584,-0.047422
335,42314.68,0.114132,0,0.153932,0.203128,1.213080,-0.046816
336,42440.74,0.118841,0,0.152081,0.199829,1.211642,-0.047029
337,42566.68,0.115995,0,1.033365,0.214239,1.210321,-0.046240
338,42693.05,0.103401,0,0.095979,0.266261,1.209058,-0.046329
339,42819.07,0.099299,0,0.177773,0.278887,1.207774,-0.047615
340,42945.48,0.097615,0,0.113595,0.291394,1.206488,-0.048244
341,43072.29,0.106214,0,0.096359,0.228021,1.205064,-0.047112
342,43198.44,0.094434,0,0.109890,0.282987,1.203582,-0.047679
343,43324.40,0.088308,0,0.421337,0.240112,1.202111,-0.046484
344,43450.38,0.092354,0,0.104030,0.281021,1.200722,-0.045988
345,43576.53,0.092726,0,0.094073,0.230536,1.199286,-0.045255
346,43702.63,0.098592,0,0.140902,0.254720,1.197845,-0.045632
347,43829.15,0.114410,0,0.143287,0.252808,1.196470,-0.044687
348,43956.01,0.113583,0,0.108737,0.214095,1.195095,-0.046410
349,44082.50,0.114886,0,0.181581,0.247076,1.193653,-0.045454
350,44209.11,0.116545,0,0.086986,0.274966,1.192354,-0.045685
351,44337.36,0.125699,0,0.099263,0.252805,1.191034,-0.045635
352,44463.46,0.117866,0,0.109406,0.215178,1.189683,-0.045172
353,44590.06,0.127214,0,0.102223,0.216130,1.188178,-0.044740
354,44716.49,0.119356,0,0.100375,0.228193,1.186588,-0.044746
355,44842.87,0.117957,0,0.094232,0.236561,1.185023,-0.044260
356,44969.04,0.114744,0,0.139432,0.240814,1.183468,-0.043736
357,45095.31,0.118060,0,0.200441,0.208491,1.181976,-0.044183
358,45221.53,0.112534,0,0.119194,0.239997,1.180598,-0.042865
359,45347.80,0.109664,0,0.089008,0.300102,1.179073,-0.043606
360,45474.09,0.112480,0,0.086698,0.211952,1.177603,-0.044622
361,45600.11,0.112997,0,0.251869,0.225727,1.176211,-0.042567
362,45726.30,0.106542,0,0.091214,0.220278,1.174930,-0.042859
363,45852.76,0.105100,0,0.099048,0.233737,1.173638,-0.043251
364,45979.10,0.103003,0,0.112632,0.212130,1.172214,-0.042357
365,46105.42,0.099487,0,0.080575,0.209644,1.170650,-0.041819
366,46231.90,0.100428,0,0.095577,0.213189,1.169157,-0.042377
367,46358.48,0.099244,0,0.130550,0.266165,1.167669,-0.042079
368,46485.05,0.088002,0,0.258728,0.239031,1.166295,-0.042165
369,46610.81,0.096330,0,0.104941,0.217000,1.165102,-0.042367
370,46736.96,0.092979,0,0.078341,0.218182,1.163781,-0.041683
371,46863.08,0.083294,0,0.147385,0.212639,1.162478,-0.041686
372,46989.46,0.096076,0,0.137562,0.281122,1.161246,-0.041043
373,47115.75,0.090083,0,0.319490,0.227786,1.160030,-0.041721
374,47241.63,0.091364,0,0.098346,0.229190,1.158871,-0.041563
375,47367.84,0.090110,0,0.107541,0.225626,1.157530,-0.041219
376,47496.07,0.095904,0,0.111606,0.231350,1.156042,-0.040787
377,47622.17,0.080140,0,0.078053,0.220474,1.154509,-0.040603
378,47748.70,0.088746,0,0.145598,0.248944,1.153034,-0.040748
379,47874.94,0.078986,0,0.092811,0.251191,1.151423,-0.040277
380,48001.18,0.070793,0,0.237334,0.232323,1.149988,-0.040238
381,48127.22,0.078075,0,0.084735,0.228575,1.148755,-0.039708
382,48253.83,0.082679,0,0.174378,0.253824,1.147522,-0.039579
383,48379.92,0.086901,0,0.087266,0.215670,1.146397,-0.040021
384,48506.48,0.076320,0,0.089880,0.241094,1.145186,-0.039733
385,48632.55,0.084363,0,0.081191,0.230012,1.143946,-0.039834
386,48758.93,0.093786,0,0.068609,0.259351,1.142677,-0.038191
387,48885.03,0.095322,0,0.084032,0.251735,1.141416,-0.039062
388,49011.53,0.095883,0,0.074190,0.221720,1.140079,-0.039172
389,49137.77,0.094985,0,0.196638,0.278519,1.138790,-0.038506
390,49263.82,0.087892,0,0.125478,0.205173,1.137667,-0.038130
391,49390.35,0.100981,0,0.810379,0.226932,1.136572,-0.037898
392,49516.24,0.091030,0,0.109290,0.251821,1.135534,-0.038378
393,49642.79,0.107085,0,0.151419,0.235853,1.134554,-0.038646
394,49769.06,0.108743,0,0.409671,0.270538,1.133650,-0.038511
395,49895.13,0.106941,0,0.083115,0.261179,1.132771,-0.038499
