n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source,D_nuclear_norm,D_op_norm,D_fro_norm,D_max_entry,D_nuclear_over_n_snd,D_nuclear_over_n_dmax,D_stable_rank,diagnostic_SND_recomputed,spectral_rel_bound,spectral_abs_bound
50,12,uniform,42231,300,1225,0.2448979591836734,0.0046265386044979,0.0045990771614015,1.0059710768340384,0.9940643652968332,2.7461443096399307e-05,0.2448979591836734,28.081850138258805,6.877187788961339,5.104816989838396,0.7163990561200891,18,True,8.246211251235321,150.40539090405218,36.75934841739945,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,knn,2075,381,1225,0.3110204081632653,0.0046265386044979,0.0046201576478779,1.0013811123139724,0.9986207925264527,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.19177579670213,46.79266179446131,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,knn,12075,381,1225,0.3110204081632653,0.0046265386044979,0.0046201576478779,1.0013811123139724,0.9986207925264527,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.47112030442804,46.92063010297716,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,knn,22075,381,1225,0.3110204081632653,0.0046265386044979,0.0046201576478779,1.0013811123139724,0.9986207925264527,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.40632089949213,46.83876450289972,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,knn,32075,381,1225,0.3110204081632653,0.0046265386044979,0.0046201576478779,1.0013811123139724,0.9986207925264527,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,150.36828620359302,46.945477987173945,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,knn,42075,381,1225,0.3110204081632653,0.0046265386044979,0.0046201576478779,1.0013811123139724,0.9986207925264527,6.380956619977951e-06,0.3110204081632653,76.96726274765489,23.93838947498491,12.91934971107515,0.4382891429967326,23,False,9.38083151964686,149.06904879026115,46.39643878326751,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,24,random_regular,2758,600,1225,0.4897959183673469,0.0046265386044979,0.0046286275610327,0.9995486877033596,1.0004515160713956,2.0889565348625183e-06,0.4897959183673469,8.054489954489952,3.945056304239976,6.687171904977072,0.721367837292622,24,True,9.591663046625438,148.93971619894728,73.13037919811904,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.5872188019476752,0.002716790456497926
50,24,random_regular,12758,600,1225,0.4897959183673469,0.0046265386044979,0.0046272366307675,0.999849148352381,1.000150874407272,6.980262696743011e-07,0.4897959183673469,8.125169275169272,3.979674747021684,6.534906132885536,0.7277122444631027,24,True,9.591663046625438,148.97167650051415,73.07428590138443,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.5747604314399524,0.002659151324394808
50,24,random_regular,22758,600,1225,0.4897959183673469,0.0046265386044979,0.0046258233487606,1.0001546223630646,0.9998454015413144,7.152557373046875e-07,0.4897959183673469,7.895479520479518,3.8671736426838454,6.22119824245152,0.74078340656452,24,True,9.591663046625438,149.12801739410497,72.82850550254807,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.5490928826761136,0.0025403994191560753
50,24,random_regular,32758,600,1225,0.4897959183673469,0.0046265386044979,0.0046272445470094,0.9998474378208484,1.0001525854579214,7.059425115585327e-07,0.4897959183673469,7.673792873792871,3.7585924279801817,5.859988260648695,0.755833822472971,24,True,9.591663046625438,147.55738089443184,72.46452919207513,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.5195387174650237,0.0024036659328832595
