n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
100,28,bernoulli,23688,1431,4950,0.28909090909090907,0.0046733589842915535,0.004664521664381027,1.001894582241521,0.9981090004127158,8.837319910526276e-06,0.28909090909090907,17.996603396603394,5.202654436472617,8.498269534174488,0.7820956529698849,39,True,12.328828005937952,619.41561200656,177.7960563020315,synthetic
100,28,bernoulli,33688,1410,4950,0.28484848484848485,0.0046733589842915535,0.0046638138592243195,1.0020466350835069,0.9979575450763962,9.54512506723404e-06,0.28484848484848485,19.088666888666886,5.437377841014204,8.271878969888949,0.8030505007169297,42,True,12.806248474865697,617.9439444909804,175.13882540515624,synthetic
100,28,bernoulli,43688,1391,4950,0.281010101010101,0.0046733589842915535,0.004692282527685165,0.9959670920747078,1.0040492381298374,1.8923543393611908e-05,0.281010101010101,19.414163614163616,5.455576078242745,8.223232419772426,0.7891478866725019,39,True,12.328828005937952,617.3302205919754,172.74601330864243,synthetic
100,28,uniform,3809,1400,4950,0.2828282828282828,0.0046733589842915535,0.004688439890742302,0.9967833849207437,1.0032269950802923,1.5080906450748444e-05,0.2828282828282828,18.506371406371404,5.234125246246458,8.361801161264085,0.7855948420188696,39,True,12.328828005937952,618.1922514049802,173.88287789653987,synthetic
100,28,uniform,13809,1400,4950,0.2828282828282828,0.0046733589842915535,0.004671327769756317,1.000434825949998,0.9995653630414304,2.0312145352363586e-06,0.2828282828282828,17.458630258630254,4.937794416582294,8.06764253311893,0.7983089366720267,40,True,12.489995996796797,617.7810670924373,173.7653438874986,synthetic
100,28,uniform,23809,1400,4950,0.2828282828282828,0.0046733589842915535,0.004690821282565594,0.9962773473508909,1.0037365625736725,1.7462298274040222e-05,0.2828282828282828,18.177922077922076,5.141230486685032,8.337965258730193,0.7966349936895075,41,True,12.649110640673518,618.2522489049006,174.15422279154882,synthetic
100,28,uniform,33809,1400,4950,0.2828282828282828,0.0046733589842915535,0.004673957824707031,0.9998718772316874,1.0001281391858599,5.988404154777527e-07,0.2828282828282828,17.51558958091575,4.953904123895364,8.179892781543904,0.8140933458740022,44,True,13.114877048604,617.9186880995985,174.16105809388682,synthetic
100,28,uniform,43809,1400,4950,0.2828282828282828,0.0046733589842915535,0.004671023692935705,1.000499952796082,0.9995002970318142,2.3352913558483124e-06,0.2828282828282828,16.863708513708513,4.769533721048872,8.305591889161553,0.7923602027709612,40,True,12.489995996796797,616.9311479025055,173.872255301103,synthetic
100,28,knn,3610,1781,4950,0.3597979797979798,0.0046733589842915535,0.00465084332972765,1.004841198244625,0.9951821260383409,2.251565456390381e-05,0.3597979797979798,82.77754611409568,29.783193864485742,27.971852981734727,0.46207975035125526,52,False,14.2828568570857,618.8845847034827,221.64089219877496,synthetic
100,28,knn,13610,1781,4950,0.3597979797979798,0.0046733589842915535,0.00465084332972765,1.004841198244625,0.9951821260383409,2.251565456390381e-05,0.3597979797979798,82.77754611409568,29.783193864485742,27.971852981734727,0.46207975035125526,52,False,14.2828568570857,618.4028887946624,221.63744478602894,synthetic
100,28,knn,23610,1781,4950,0.3597979797979798,0.0046733589842915535,0.00465084332972765,1.004841198244625,0.9951821260383409,2.251565456390381e-05,0.3597979797979798,82.77754611409568,29.783193864485742,27.971852981734727,0.46207975035125526,52,False,14.2828568570857,617.8696624992881,221.1851939035114,synthetic
100,28,knn,33610,1781,4950,0.3597979797979798,0.0046733589842915535,0.00465084332972765,1.004841198244625,0.9951821260383409,2.251565456390381e-05,0.3597979797979798,82.77754611409568,29.783193864485742,27.971852981734727,0.46207975035125526,52,False,14.2828568570857,617.8034592070617,220.9551092935726,synthetic
100,28,knn,43610,1781,4950,0.3597979797979798,0.0046733589842915535,0.00465084332972765,1.004841198244625,0.9951821260383409,2.251565456390381e-05,0.3597979797979798,82.77754611409568,29.783193864485742,27.971852981734727,0.46207975035125526,52,False,14.2828568570857,618.4403660940006,221.19085448794067,synthetic
100,7,random_regular,790,350,4950,0.0707070707070707,0.5182570219039917,0.5193618535995483,0.9978727130460211,1.0021318219510036,0.0011048316955566406,0.0707070707070707,97.59937541818348,6.900965938659438,4.489157008868701,0.3586918558758999,7,True,4.898979485566356,617.6440736104269,43.74301299103536,checkpoint
100,7,random_regular,10790,350,4950,0.0707070707070707,0.5182570219039917,0.5189785361289978,0.9986097416852963,1.001392193823743,0.0007215142250061035,0.0707070707070707,109.68012804189277,7.755160568618681,4.615717093077009,0.3406118438461415,7,True,4.898979485566356,616.958385007456,43.65468960022554,checkpoint
100,7,random_regular,20790,350,4950,0.0707070707070707,0.5182570219039917,0.5178285241127014,1.0008274897409803,0.9991731944321448,0.0004284977912902832,0.0707070707070707,103.74144022136014,7.33525334898506,4.44170139967171,0.36547122861832715,7,True,4.898979485566356,616.7601912107784,43.700577109120786,checkpoint
100,7,random_regular,30790,350,4950,0.0707070707070707,0.5182570219039917,0.5181227922439575,1.0002590692052995,0.9997409978941703,0.0001342296600341797,0.0707070707070707,107.81199441813922,7.623070312393682,4.640361249412654,0.3370912500839066,7,True,4.898979485566356,616.6586256062146,43.671041197376326,checkpoint
